timestamp,datetime,open,high,low,close,volume,close_timestamp,close_datetime,quote_volume,trades_count,taker_buy_volume,taker_buy_quote_volume,symbol
1756200600000,2025-08-26 17:30:00,110345.0,111000.0,109801.0,110047.2,27.99,1756201499999,2025-08-26 17:44:59,3088400.718,2843,20.467,2259719.2001,0
1756201500000,2025-08-26 17:45:00,110048.4,110300.0,110047.1,110114.6,37.062,1756202399999,2025-08-26 17:59:59,4083865.57,2620,22.809,2515114.2436,0
1756202400000,2025-08-26 18:00:00,110114.6,110300.0,109826.9,110289.9,53.712,1756203299999,2025-08-26 18:14:59,5911887.9526,2325,13.271,1463311.3477,0
1756203300000,2025-08-26 18:15:00,110281.6,111000.0,110080.9,110370.0,26.821,1756204199999,2025-08-26 18:29:59,2958911.4564,2542,22.856,2521572.8564,0
1756204200000,2025-08-26 18:30:00,110366.6,110581.6,110115.8,110300.0,17.773,1756205099999,2025-08-26 18:44:59,1961270.6337,2579,8.81,973090.3501,0
1756205100000,2025-08-26 18:45:00,110300.0,110522.2,109911.2,110016.7,34.173,1756205999999,2025-08-26 18:59:59,3769186.4095,2805,12.476,1377570.2189,0
1756206000000,2025-08-26 19:00:00,110016.8,110483.4,109678.0,109987.1,318.809,1756206899999,2025-08-26 19:14:59,35085050.4625,4148,54.111,5967748.3904,0
1756206900000,2025-08-26 19:15:00,109983.8,110163.6,109678.0,109820.3,255.749,1756207799999,2025-08-26 19:29:59,28090769.6662,4456,44.785,4924060.2352,0
1756207800000,2025-08-26 19:30:00,109820.7,109907.0,109377.1,109599.9,70.538,1756208699999,2025-08-26 19:44:59,7735508.3826,3695,13.738,1507437.5033,0
1756208700000,2025-08-26 19:45:00,109604.2,110267.9,109364.4,109842.2,64.705,1756209599999,2025-08-26 19:59:59,7098833.3356,3426,33.994,3732296.8979,0
1756209600000,2025-08-26 20:00:00,109839.2,110039.6,109423.9,109590.4,204.365,1756210499999,2025-08-26 20:14:59,22404181.5214,3687,22.295,2446056.724,0
1756210500000,2025-08-26 20:15:00,109590.4,109736.0,109383.1,109681.2,19.762,1756211399999,2025-08-26 20:29:59,2166992.1051,2623,11.916,1307109.5267,0
1756211400000,2025-08-26 20:30:00,109681.2,110905.7,109633.6,110507.0,602.611,1756212299999,2025-08-26 20:44:59,66553524.6971,4746,108.539,11947689.1615,0
1756212300000,2025-08-26 20:45:00,110509.8,110812.6,109593.4,110194.7,663.626,1756213199999,2025-08-26 20:59:59,73242509.6332,4583,15.15,1673568.2799,0
1756213200000,2025-08-26 21:00:00,110194.7,110650.6,109847.4,110117.3,249.238,1756214099999,2025-08-26 21:14:59,27458087.1173,3803,20.8,2292739.6943,0
1756214100000,2025-08-26 21:15:00,110118.9,111200.5,109733.4,109824.0,423.69,1756214999999,2025-08-26 21:29:59,46580077.6943,3701,20.447,2254148.4293,0
1756215000000,2025-08-26 21:30:00,109824.0,111200.5,109566.6,109852.1,1115.537,1756215899999,2025-08-26 21:44:59,122621492.7344,4472,136.662,15024437.4171,0
1756215900000,2025-08-26 21:45:00,109856.0,111293.5,109251.7,110043.3,1341.887,1756216799999,2025-08-26 21:59:59,147124263.9949,4920,125.358,13766847.9136,0
1756216800000,2025-08-26 22:00:00,110050.9,110442.5,109721.6,109855.3,30.049,1756217699999,2025-08-26 22:14:59,3304675.56,4286,17.799,1957628.6784,0
1756217700000,2025-08-26 22:15:00,109831.7,111180.5,109721.6,110160.1,596.463,1756218599999,2025-08-26 22:29:59,65698045.8468,3960,17.734,1957395.5175,0
1756218600000,2025-08-26 22:30:00,110156.9,138500.1,109897.8,110341.1,4780.684,1756219499999,2025-08-26 22:44:59,625690781.9105,5598,4584.505,604052350.5532,0
1756219500000,2025-08-26 22:45:00,110340.7,110648.9,110053.0,110321.8,55.871,1756220399999,2025-08-26 22:59:59,6162523.7982,4816,35.618,3931478.8388,0
1756220400000,2025-08-26 23:00:00,110321.8,110653.9,110160.0,110211.7,128.179,1756221299999,2025-08-26 23:14:59,14151748.4317,5046,28.295,3127119.3216,0
1756221300000,2025-08-26 23:15:00,110218.1,110602.6,109827.5,110024.5,696.197,1756222199999,2025-08-26 23:29:59,76503055.1087,5703,27.268,3010603.9474,0
1756222200000,2025-08-26 23:30:00,110024.7,110271.1,109425.0,109425.0,74.82,1756223099999,2025-08-26 23:44:59,8215580.38,6463,36.035,3960148.1019,0
1756223100000,2025-08-26 23:45:00,109554.9,110693.0,109425.0,109621.4,194.811,1756223999999,2025-08-26 23:59:59,21378601.6179,5353,37.85,4158516.0499,0
1756224000000,2025-08-27 00:00:00,109621.4,109916.3,109425.0,109465.0,48.214,1756224899999,2025-08-27 00:14:59,5288434.3254,4526,32.094,3522619.1092,0
1756224900000,2025-08-27 00:15:00,109467.9,109832.4,109275.0,109708.2,190.585,1756225799999,2025-08-27 00:29:59,20897351.5192,4715,50.136,5500097.5037,0
1756225800000,2025-08-27 00:30:00,109710.8,110120.2,109443.3,109849.9,386.579,1756226699999,2025-08-27 00:44:59,42506568.7397,4877,347.922,38266935.2117,0
1756226700000,2025-08-27 00:45:00,109849.9,110153.9,109547.3,110134.4,47.399,1756227599999,2025-08-27 00:59:59,5207306.858,5023,28.163,3097215.3825,0
1756227600000,2025-08-27 01:00:00,110134.4,110258.8,109712.0,109818.6,393.834,1756228499999,2025-08-27 01:14:59,43300691.531,4234,19.34,2128320.8983,0
1756228500000,2025-08-27 01:15:00,109818.6,110106.0,109712.0,109820.7,29.641,1756229399999,2025-08-27 01:29:59,3256693.192,3651,20.808,2286647.3427,0
1756229400000,2025-08-27 01:30:00,109820.7,110021.0,109430.0,109640.2,42.925,1756230299999,2025-08-27 01:44:59,4709217.0158,3714,22.069,2422756.6052,0
1756230300000,2025-08-27 01:45:00,109640.7,110106.0,109500.6,109950.0,29.885,1756231199999,2025-08-27 01:59:59,3280592.1704,3705,18.225,2002253.9521,0
1756231200000,2025-08-27 02:00:00,109952.6,110266.0,109782.2,110068.5,145.01,1756232099999,2025-08-27 02:14:59,15959959.4496,4451,26.906,2963805.5461,0
1756232100000,2025-08-27 02:15:00,110063.2,110615.8,109846.6,110444.3,152.615,1756232999999,2025-08-27 02:29:59,16834578.6662,3809,26.589,2930912.9242,0
1756233000000,2025-08-27 02:30:00,110443.5,110936.5,110335.5,110853.8,220.203,1756233899999,2025-08-27 02:44:59,24400621.7319,5313,196.509,21778550.7436,0
1756233900000,2025-08-27 02:45:00,110856.1,110897.2,110583.0,110649.9,176.354,1756234799999,2025-08-27 02:59:59,19532006.9388,5026,42.86,4748966.2154,0
1756234800000,2025-08-27 03:00:00,110650.1,110839.3,110289.4,110608.6,221.899,1756235699999,2025-08-27 03:14:59,24532438.5252,4493,20.411,2258227.9572,0
1756235700000,2025-08-27 03:15:00,110612.1,111151.9,110493.6,111063.7,121.537,1756236599999,2025-08-27 03:29:59,13471248.9513,3741,40.143,4456304.6598,0
